16
PRABHAS,2222222222,rajasaab@gmail.com
kani,3333333333,gamechanger@gmail.com
MAHESH BABU,4444444444,ssmb28@gmail.com
POWER STAR PAWAN KALYAN,5555555555,og@gmail.com
ALLU ARJUN,6666666666,pushparaaj@gmail.com
Naga Chaitanya,7777777777,nagachaitanya@gmail.com
Ayyagare No.1,8888888888,hello@gmail.com
Dagupati Rana,9999999999,veetiyan@gmail.com
SURYA KIRAN,1010101010,EmbeddedC@gmail.com
Dhanush,6385207410,tamil@gmail.com
Rajini Kanth,9870123654,Narasimha@gmail.com
Vijay Sethupathi,9999911111,master@gmail.com
king,7896541230,mani@gmail.com
mani,8527419630,mani2@gmail.com
venu ,3456789032,venu@gmail.com
venu,4891234567,venugopal@gmail.com
